,title,num_comments,link,text,comments,toxicity,fem,masc,eng_title,eng_comments
0,"В Ташкенте задержан мужчина, планировавший незаконно продать 2 га за $800 тыс.",0,https://uznews.uz/posts/54580,"30 марта сотрудники Генеральной прокуратуры совместно с другими ответственными ведомствами провели в Бектемирском районе оперативное мероприятие, во время которого пресекли незаконную продажу земельного участка. Об этом сообщает пресс-служба Генпрокуратуры. Мужчина пообещал «клиенту» продать 2 гектара земли, выделенной для строительства теплицы и находящейся в настоящее время под запретом. За каждую сотку злоумышленник требовал $4 тыс. В целом, 2 га он намеревался продать за $800 тыс. Злоумышленник обещал «клиенту», что снимет запрет через соответствующие органы и предоставит документы, позволяющие вести строительные работы на данном земельном участке. Во время получения аванса в размере $80 тыс. предприимчивого гражданина задержали. Против него возбуждено уголовное дело по статье 168 (Мошенничество) УК. ",[],"[0.0, 0.0]",0,1,"A man was detained in Tashkent planning to sell 2 hectares illegally for $800,000.",[]
1,"В Ташкенте 27-летний парень украл инфокиоск, загрузив его в свой автомобиль",4,https://uznews.uz/posts/54557,"По данным пресс-службы столичного ГУВД, 19 марта, примерно в 20:00 часов, в Яшанабадском районе Ташкента неизвестный похитил инфокиоск стоимостью 22 млн сумов, загрузил его в свой автомобиль Nexia и вывез в безлюдное место. Там гражданин вскрыл инфокиоск и присвоил себе 3 млн 83 тыс. сумов, находившиеся внутри. Позже подозреваемый был задержан. Им оказался 27-летний А.М. По данному факту были оформлены соответствующие документы и переданы в УКД ОВД Яшнабадского района. ","['Надо конфисковать машину и на деньги купить новый инфокиоск.', 'Почему номер машин не скрыли если был бы что то о коррупции скрыли бы все данные', 'Что с капотом его авто? Весь в пробоинах.', 'Надругался над железным ящиком, кому он теперь дырявый нужен...']","[0.7438398, 0.25616014]",0,1,"In Tashkent, a 27-year-old kid stole a info and loaded it into his car.","'Why didn't the license plate be hidden if there was something about corruption that would cover up all the data' 'What's with the hood of his car?' 'It's all covered up in holes.' 'The iron box, who now needs a hole...']"
2,СГБ пресекла попытку незаконной продажи земли за полмиллиона долларов США,7,https://uznews.uz/posts/54553,"В ходе оперативного мероприятия, проведенного сотрудниками Самаркандского областного управления СГБ и УВД, была пресечена незаконная продажа 1 га земли, выделенной для строительства 16-этажных жилых домов на массиве Карасу в Самарканде. Трое городских жителей Я.О., 1978 г.р., А.Н., 1978 г.р. и А.К., 1968 г.р., зная, что на данном земельном участке пока не велось никаких строительных работ и земля должна быть возвращена в государственный резерв в декабре 2022 года, попытались незаконно продать ее. Выяснилось, что группа мужчин предложила местному жителю через своих знакомых оформить данный земельный участок за $500 тысяч. Они были задержаны с поличным при получении $250 тыс. из оговоренной суммы. В настоящее время в отношении них возбуждено уголовное дело по соответствующим статьям УК РУз, ведется следствие. ","['Вот куда смотрят хокимы', 'Интересно, а испорченные купюры куда потом девать?', 'Доллары, вы жизнь моя, не было бы долларов, не было б меня)', 'Люблю чутких южанок, вдохновляют)', 'Такое впечатление, что наличных долларов в Узбекистане больше, чем в самих штатах.', 'Ни чего удивительного, всё и все   продаются и покупаются.', 'Каждый может, но не у каждого дух есть! У крадуна, отжать не западло!']","[0.6787858, 0.3212142]",0,0,The AGB stopped an attempt to illicitly sell land for half a million United States dollars.,"'This is where the hoks look,' 'I wonder, and the spoiled bills where to go?', 'Dollars, you are my life, there wouldn't be a dollar, there wouldn't be a dollar, there wouldn't be me,' '' 'Love the sensitive southerns are inspired', 'that's the impression that the cash in Uzbekistan is bigger than in the states themselves.' 'Nothing is amazing, everything is sold and bought.' 'Everybody can, but not everyone has a spirit!"
3,В отношении замхокима Зангиатинского района возбуждено уголовное дело,6,https://uznews.uz/posts/54549,"В социальных сетях распространилась информация о том, что заместитель хокима Зангиатинского района Ташкентской области Ж.У. находится в розыске. Пресс-секретарь Генпрокуратуры Хаёт Шамсутдинов сообщил UzNews.uz, что в отношении ряда должностных лиц администрации Зангиатинского района возбуждены уголовные дела по фактам хищения денежных средств и другим статьям УК РУз. В частности, заместителю хокима Зангиатинского района предъявлены обвинения по статьям 167 (хищение путем присвоения или растраты), 205 (злоупотребление властью или должностными полномочиями) и 209 (должностной подлог) УК РУз. В настоящее время проводятся следственные действия. ","['Эти все статьи можно отмазать в ходе следствие', 'Он уверен, что шеф его вытащит.', 'Он в розыске? Разрешили украсть , дали убежать, а теперь ищут? Классика...', '15 суток надо ему за это дать', 'Ну, правильно! Зачем тогда  занимать должность!\nНе он возьмёт и присвоит, так другой!\nИначе как разбогатеть???\nНа какие бабки покупать элитные дома???\nАвто каждому члену семьи???\nТраты на учёбу отпрысков и их садьбы??,\nА дорогие подарки руководству???\nИ, главное, кто-то его на эту должность выдвинул не за красивые глаза, надо и ему ещё должок вернуть!\nТак все руководители на всех уровнях и  сидят!\nПойманный только плохой!', 'Когда будут хокимам предъявлять паралельно с замами? Рыба гниёт с головы! Без непосредственного ведома хокима, замы ничего не будут делать.']","[0.7337809, 0.2662191]",0,1,Criminal proceedings have been initiated against the Zaghiatin district of Zaghi,"'These articles can be exonerated in the course of the investigation', 'He's sure that the chief will get him out.', 'He's wanted? 'He's allowed to steal, let them run away, and now they're looking?' Classic...', 'I've got 15 days to give him for it, 'Well, why do you think he's gonna take the job? 'He's not gonna take the job, so he's gonna get the other one? 'What's gonna get rich? 'What money do you want to buy the elite houses? '? 'What money does every member of the family have?' '? 'When the hokims are presented paralyzing with the castle? '"
4,"В Ташкенте задержаны 14 женщин, предлагавших интим-услуги через Telegram",14,https://uznews.uz/posts/54547,"В ходе мероприятий по своевременному выявлению правонарушений, сотрудники ГУВД Ташкента задержали 14 женщин, занимавшихся проституцией и предлагавших свои услуги посредством мессенджера Telegram, сообщает пресс-служба столичного ГУВД. Согласно решению выездного суда, в отношении 6 женщин применено наказание в виде административного ареста, на восьмерых были наложены штрафы. ","['Вы как в Европе хотите, ? Там это дело легазидовали', 'Ну а что, в рыночной экономике, в светском государстве - легализовать лучше конечно. Вывести легальные притоны за город, заставить их справки получать и налоги платить. И девушки на улицах стоять не будут, и притонов в жилых домах не будет. Самое лушее решение было бы.', 'В комиссии сидят мужики-""праведники"" , которые никогда не изменяли своим женам.', 'Здравствуйте! А можно мне контакты этих женщин?', 'Лучше твоих! Потому что ты ослами занят.', 'Новиков , че я пропустил? А то комменты узбеков удалили не успел прочесть:В', 'Сколько болтовни было про права женщин, сколько денег выделеных на это украли! Вы на рожи ""судей"" смотрите! Они от жира лопаются!', 'При нашей рыночной экономике, при купи-продай всего вокруг, у меня, божьего одуванчика, с устранением эректильной дисфункции, такое фонтанирующее либидо решилось на бухарских новостройках, куда бегают женщины за деньгами и водят туда молодух, у которых мужики разбежались по российским конкуренткам, а детишки просят кушать. Бывает девки ждут у новостройки окончания рабочего дня. Ну и что ? Кому интересно голодающее население ? Только не сытым...', 'Бедняга никто тебе так и не даёт((', '...""Предупреждение правонарушений""....чьи ????', 'Женщинам нельзя, услуга востребована, куда и как пойдут получать востребованное....?', 'Необъяснимо но факт', 'в стране тюльпанов самым бедным гражданам ежемесячно выдаётся пособие для похода в квартал красных фонарей.', 'Ты смотри, путем гениальной комбинации раскрыли такое преступление. Позор мвд!']","[0.5318548, 0.46814522]",1,1,"In Tashkent, 14 women offering intimate services through Telegram have been detained","[""How do you want it in Europe,""? There's a legised case, 'Well, in the market economy, in the secular state, it's better to legalize. 'Can I get these women's contacts? 'Cause you're busy.' 'Cause you're busy.' 'The newest thing I've ever missed? 'The Uzbek comments didn't read 'B',' 'How much talk was about women's rights, how much money you've been paid for it! 'Cause you're on the face of 'judges' look! 'Cause it's not fat! 'In our market economy,' 'cause you're buying-selling it all around,' 'cause I've got a lot of money going on, 'cause I've got a man who's gonna run around, and a"
5,"В Сырдарье обнаружена подпольная майнинг-ферма, заработавшая порядка $8 млн — видео",15,https://uznews.uz/posts/54538,"Сотрудники СГБ совместно с другими ответственными ведомствами провели оперативное мероприятие в Баявутском районе. Об этом сообщает УзА. Выяснилось, что на территории местного ООО действует подпольная криптоферма. Иностранное предприятие, зарегистрированное в городе Ташкенте, арендовало помещение у местного ООО сроком на 2 года и организовало майнинг- ферму с использованием 1491 комплекта майнинговых устройств и 9280 видеокарт. В результате с августа 2020 года было заработано криптовалюты на 7,7 млн долларов. Сообщается, что руководители ООО и иностранного предприятия заключили договор с районным предприятием электрических сетей на подключение к электросети несуществующей кролиководческой фермы. Благодаря этим мошенническим действиям они платили за большие объемы использованной электроэнергии по низкой стоимости, чем нанесли огромный ущерб государству. В настоящее время по данному факту возбуждено уголовное дело. ","['А это плохо? Наоборот же экономика хорошая будет.', 'ну молодцы, что хлопнули, поделом\r\nменеьше майнеров - больше кислорода)', 'Так вот из за кого в январе проблемы были с энергоснабжением))', '""...Здесь течет река грязных денег. Но ведь если ты захочешь ими двигать, то придется объяснить...откуда они взялись. Вот здесь-то и вступаю в дело я.\r\nЯ их запускаю в оборот, очищаю и возвращаю. Вклады, ценные бумаги, беспроцентные облигации. Они крутятся в реальном мире. И в конце-концов, возвращаются...Непорочные, как девичья гордость? И чистые, как облака.\r\nК тому времени, когда Нортон соберется на пенсию, я сделаю его миллионером.\r\nНо если его повяжут, он же опять будет щеголять здесь, только в робе с номерком. Рыжий, я думал, что ты обо мне несколько лучшего мнения.\r\nТы молодец Энди, но все эти сделки оставляют след. И если кто-то поинтересуется ими, ФБР, налоговики, да кто угодно, этот след к кому-то приведет.\r\nКонечно приведет.Но не ко мне. И уж конечно, не к Нортону. Ну и к кому же тогда?\r\nК Рэнделлу Стивенсу. К кому?! Наш партнер-невидимка. Это он во всем виновен, Ваша Честь! Человек с банковскими счетами. Вот где начинается очистка денег.\r\nИ если кто-то что-то отследит, то обязательно выйдет на него. Но кто же он такой?\r\nПризрак, фантом Второй кузен КРОЛИКА Харви. Я создал его из воздуха.\r\nОн существует только на бумаге. Энди, но нельзя же просто взять и создать кого-то?! Конечно можно, если знаешь, как работает система, где ее слабые места..."" (из к/ф ""Побег из Шоушенка"")', 'былаб моя воля, сослал бы всех майнеров в мурунтау, золото кирками добывать, с последующим перечислением их зряплат в гос бюджет, и так год каждому. а видяхи конфискованные за 1/10 цены выставил бы на аукционе.', 'Вот поэтому таким дуракам как ты, власть и не дадут никогда..', 'лехко тобой вертеть, артурик, лехко...', 'Ну, если подсчитать затраты, то эта ферма только начала себя окупать, как ее хлопнули, только видяхи стоят по скромным подсчетам 4,6 млн а матери, а охлаждение, монтаж, электроэнергия и взятки плюс официальная аренда, то точно в ноль вышли, как их хлопнули.', 'Верно, все всё видели, дождались эффекта и грызут теперь, чтобы не лезли больше к нам чужие иностранцы, у нас своих по загранкам хватает, грызунов.', 'Как бы не поломали такую валютную капельницу... Отработает штраф и вперед, рубить окно в Европу) Лиха беда, - начало) Однако не каждый начальник так может (скрежет зубами))), знать бы кому продадут по дешевке это чудо, после конфискации ? Поломает также, как и у меня, вот таким макаром, недоумками был украден минизавод сахара, что загубить.', 'Кролики - это диетическое мясо. Надо помочь фермерам.', 'Кролики - это не только ценных мех, но и 3-4 килограмма , диетического биткоина…', 'ты не особто радуйся. в течение десятка лет коллективный цивилизованный мир посадит тебя сначала на ""мясо"" кузнечиков, а потом на искусственный белок - и всё под предлогом заботы о планете. а в это время золотая верхушка 150-летних старцев с десятком пересадок сердца будет как и раньше уплетать самое изысканное натуральное мясо, которое только найдётся в закромах нашей планеты.']","[0.73662156, 0.26337835]",0,0,Syrdarier discovered an underground mining farm that earned about $8 million in video.,"It's bad, but the economy will be good. 'Cause if you want to move it, you're gonna have to explain it... from where you're going. That's where I'm gonna put it. I'm gonna turn it into a millionaire, clean it up, and I'm gonna return it."
6,В Самарканде в Lacetti обнаружено свыше полукилограмма слитков золота,4,https://uznews.uz/posts/54532,"Сотрудники СГБ совместно с представителями Департамента по борьбе с экономическими преступлениями и УБДД провели в Булунгурском районе оперативное мероприятие, в ходе которого в автомобиле Lacetti было обнаружено 15 слитков золота весом 525,9 грамма. Об этом сообщает пресс-служба УВД Самаркандской области. Золотые слитки были оценены на общую сумму 358,2 млн сумов. Сообщается, что водитель получил драгоценные металлы у жителя Навоийской области и должен был передать их жителю Ташкента. По факту произошедшего возбуждено уголовное дело по статье 177 УК (Незаконное приобретение или сбыт валютных ценностей). В настоящее время проводятся следственные действия. ","['Однажды давно, в Самаркандском аэропорту, летел я в Бухару, после сдачи минизавода сварочных электродов, в рюкзаке ""кирпич"" советских пятирублевок, со всеми банковскими атрибутами. Тогда гбшник в этом понял своих и пропустил, потому что свое, остро нужное в то время производство, понимал каждый, бывший кгбшник. Сейчас гбэшникам приходится документально доказывал наличие у них под носом действующую, неконституционную параллельную власть. Те полкило золота, что удивило многих только капля, среди миллиардеров, - воров и мошеников, которых ГБ боится видеть потому что это свои) Как и все чужие среди своих.', 'Так он ведь не продавал! А незаконное хранение золота у нас карается или нет?', 'Кто-то из своих сдал.', 'Уголовное дело по статьи ""а чё у тебя есть, а у меня нету"". Мы это конфискуем']","[0.7086941, 0.29130593]",0,0,"In Samarkand in Lacetti, more than a half-kilogram of gold bars were found.","Once upon a time, at Samarkand airport, I flew to Buhara, after the mini-making of the welding electrodes, in the backpack of the ""kirpich"" Soviet fiverubes, with all the banking attributes. Then the bastard understood mine and missed it, because it was his much needed production at the time, everyone, the former kgbshnik, understood it. Now the gbashners had to document under their noses the existence of a functioning, unconstitutional parallel power. Those pounds of gold, which surprised many just a drop, among the billionaires, the thieves and the scavengers that the GB is afraid to see because it is theirs. 'Cause he didn't sell it! Isn't the illegal possession of gold being punished or not?', 'Someone of his own surrendered.', 'The criminal case on the ""and you have, and I don't."""
7,В одном из ТРЦ Андижана незаконно использовали электроэнергию почти на 2 млрд сумов,5,https://uznews.uz/posts/54522,"В ходе доследственной проверки, проведенной Андижанским городским отделением Департамента при Генпрокуратуре по запросу Андижанского областного отделения «Узэнергоинспекции», выяснилось , что в городском торговом центре незаконно использовали электроэнергию на 1,5 млрд сумов. Установлено, что ответственные лица предприятия самовольно сняли защитные пломбы онлайн-счетчика и заменили его на электросчетчик, не соответствующий техническим требованиям. Кроме того, должностные лица Андижанского городского предприятия электрических сетей взимали плату за электроэнергию, поступающую в торговый центр, по неверному тарифу. Таким образом государству был нанесен ущерб в размере 491,4 млн сумов. По данному факту возбуждено уголовное дело по ст. 185-2 (Нарушение правил пользования электрической, тепловой энергией, газом, водопроводом) и ст. 207 (Должностная халатность) УК РУз, ведутся следственные действия. ","['Возбудили, у ас не значит, что дойдет до суда.', 'Какой именно ТРЦ, секретная информация что ли', 'Узокдан бир пари галар бу ким экан', 'Предприимчивость нынче же поощряется, а тут вдруг--жулики, кто врёт?.', 'узбегим или навруз)0)']","[0.58600324, 0.4139967]",0,0,"In one of the TRCs, Andizjan illegally used electricity for almost 2 billion sum.","It doesn't mean it's gonna get to trial.' 'What exactly is the TRC, the secret information? 'Okay, 'Uzakdan beer galar bo Kim ekan', 'Enterprise is now encouraged, 'and then all of a sudden-- cheaters who lie?' ', 'let's run, or vulture'.'"
8,"В Самарканде мужчина наблюдал за 7-летней девочкой, пытаясь совершить против неё непристойные действия",4,https://uznews.uz/posts/54504,"В соцсетях распространилось сообщение о том, что в Самарканде неизвестный мужчина наблюдал за 7-летней девочкой и пытался совершить против нее непристойные действия. Пресс-секретарь Генеральной прокуратуры Хаёт Шамсутдинов сообщил корреспонденту UzNews.uz детали произошедшего. В правоохранительные органы обратился 37-летний мужчина, сообщивший, что 27 марта, примерно в 16:30, он увидел как мужчина в возрасте 40-45 лет наблюдает за его 7-летней дочерью, пытаясь совершить непристойные действия. После того, как злоумышленник увидел отца девочки, он сбежал с места инцидента. По данному факту проводится доследственная проверка. Подозреваемый объявлен в розыск. ","['Новости пишут грамотные люди, ""наблюдал, пытаясь совершить непристойные дела"", что это такое? По таким новостям каждого смотрящего человека можно подозревать в намерении совершить непристойные дела', 'таких необходимо кастрировать. и на бутылку сажать!', 'БЕШИТ КРАСИВО \r\n\r\n\r\nСПОРТСЕМ НАВЕРНОЕ', 'Да спортсмен, за твоей дочкой побежал. Дебил ты тупоголовый.']","[0.74579436, 0.2542056]",1,1,"In Samarkand, a man watched a 7-year-old girl try to commit indecent acts against her.","The news is that every person who looks can be suspected of intent to commit indecent acts, 'cause you have to castrate them, and put them on a bottle!', 'You stupid bastard.']"
9,"Более 154 кг гашиша, замаскированных под картофель, попытались ввезти в Узбекистан — видео",2,https://uznews.uz/posts/54502,"На пограничном таможенном посту «Айритом» в Сурхандарьинской области выявлена попытка ввоза наркотических средств. Гашиш упаковали в виде 1305 картофелин. Общий вес наркотических средств составил 154 кг. Об этом сообщает пресс-служба ГТК. Сообщается, что гашиш пытались провезти транзитом через Узбекистан на грузовом автомобиле. Остановленный на пограничном таможенном посту автомобиль прибыл из соседней страны. Груз должны были вывезти из Узбекистана в другую страну через таможенный пост в Андижанской области. Согласно документам, в грузовой автомобиль было загружено более 22 тонн картофеля в 533 мешках, в 38 из которых был спрятан гашиш. Наркотики прятали основательно. Каждую «картофелину» упаковывали в полиэтилен разного цвета и строительный скотч. Все это делалось для того, чтобы сканеры на таможенном посту, и специально обученные собаки, не смогли обнаружить наркотики.  Напомним , что в январе в Ташкентской области также изъяли крупную партию наркотиков, замаскированных под картофель. В мешках было обнаружено 481 сверток в виде картофеля. Тогда общий вес наркотических средств составил 77 кг 95 гр.","['Слил кто то, видимо пожадничали, намеревались таможню без конфет оставить, вообще дебилы!!!', 'Картошечки бы пожарить из этой партии.']","[0.0059531275, 0.99404687]",0,0,More than 154 kg of hashish disguised as potatoes tried to bring a video to Uzbekistan,"Somebody must've been greedy, intended to leave customs with no candy, you idiots! ', 'cause you'd have to burn out of this lot.'"
